职位名称,招聘部门,薪资,地区,工作经验,学历,工作性质,职位诱惑,职位描述,工作地址,公司信息
数据分析师（C端游戏社交行业）,天真互动平台产品部招聘,12k-24k,/北京 /,经验1-3年 /,本科及以上 /,全职,"
游戏公司氛围 高薪 发展空间大 地铁周边","
岗位职责：
1.在深入理解业务的基础上，进行日常数据的监控和分析，及时察觉数据波动并深入分析原因，配合定位业务异常和风险点，提供解决方案；
2.良好的数据敏感度，对全生命周期的数据工作有深刻理解，包括：埋点、数据提取、数据处理、可视化、分析与建模；
3.关注产品和运营的核心指标，负责日常分析报告撰写、制定短期和长期定量分析，为产品提升以及运营效果优化提供决策依据与分析建议。
岗位要求：
1.1年以上互联网数据运营相关经验，对数据敏感，有洞察力和创新意识，善于总结问题并能积极进行优化；
2.良好的沟通能力与逻辑分析能力，善于从数据中发现问题，并提出解决方案；
3.具备优秀的数据处理能力，熟练使用excel常用函数与报表整理，熟悉sql语句优先，有编程基础优先；
4.对产品用户画像、用户路径、移动互联网广告、游戏有探索激情。","北京 - 朝阳区 - 嘉盛中心3305
","天真互动
移动互联网,游戏
A轮
15-50人
https://www.lagou.com/gon..."
数据分析师,喜茶招聘,10k-18k,/深圳 /,经验3-5年 /,本科及以上 /,全职,"
待遇好，平台大，氛围好","
岗位职责：
1.负责数据维护及数据分析，对日常运营与销售数据等进行监控与分析，并输出BI可视化报表；
2.深入了解业务和项目，构建业务分析维度和逻辑，为业务部门提供安全、准确、稳定的数据支持；
3.根据不同业务的需求，对数据仓库系统的数据进行准确有效的SQL程序开发；
4.会爬虫，整合各渠道平台相关数据，搭建产品评价模型，输出产品报告。
任职资格：
1.熟悉公司运作，对各部门的数据统计分析工作给予支持配合，协调开展与业务相关的工作事项；
2.良好的数据思维、分析能力、逻辑思维能力，具备优秀的分析技巧以及报告展示能力，了解主流报表工具；
3.熟悉数据库技术，熟练使用SQL与python进行数据抓取，整合与分析；
4.能输出行业报告。","深圳 - 南山区 - 后海 - 深圳市南山区航天科技广场B座
","喜茶
移动互联网,消费生活
B轮
美团旗下明珠资本(B轮)，IDG(A轮)
2000人以上
http://www.lagou.com/gong..."
数据分析师,黄金钱包运营部招聘,15k-25k,/北京 /,经验3-5年 /,本科及以上 /,全职,"
全明星投资，互联网黄金，发展空间大","

1.增长：利用数据分析工具和精准分析模型，对多种数据源进行分析挖掘，对运营和投放策略进行数据支持；
2.健康度监测：制定和监控运营指标的变化，解读异常波动，并跟踪解决方案的效果；
3.对项目的效果进行信度，效度的把控检验；
4.能从数据角度对运营和产品工作提出优化建议和指导。


职位要求：
1.三年以上工作经验，本科及以上学历，可以熟练使用SQL，Excel，会使用R语言或python数据分析工具更佳；
2.具有统计学相关知识，理解描述性统计，相关性统计原则，掌握假设检验，抽样实验，信度校验等统计研究方法；
3.理解多元线性回归等算法；
4.参与过较完整的数据采集，过滤，整理，分析和建模工作；
5.有互金、电商行业经历者优先。","北京 - 朝阳区 - 望京 - 望京SOHO
","黄金钱包
移动互联网,金融
C轮
中银国际旗下基金渤海中盛领投，光大控股旗下光控众盈资本、软银中国、慧科资本跟投。(C轮)，软银等5家投资机构(B轮)，软银(A轮)
50-150人
http://g-banker.com"
数据分析师（校招）,流利说®技术部招聘,15k-20k,/上海 /,经验应届毕业生 /,本科及以上 /,全职,"
上市公司、年底双薪、完善培训、宽松氛围","
职位描述: 
1. 设计和开发数据指标, 支持移动产品的业务决策；
2. 分析用户行为和交易数据, 发现业务增长的问题和机会；
3. 输出分析报告或数据解决方案, 提高内部决策效率。

任职要求:
1. 本科及以上学历，2020年应届毕业生，计算机等相关专业；
2. 了解移动端的基本指标, 有用户行为或画像分析经历；
3. 有 SQL实战经验，熟悉 R 或 Python 数据工具链；
4. 加分项：系统学习过数理统计, 理解常规的机器学习方法；
5. 加分项：熟悉 Rstudio, Jupyterlab, 有完整项目经历。","上海 - 杨浦区 - 长阳路1687号长阳创谷
","流利说®
教育
上市公司
完成 C 轮近亿美元融资，与好未来集团达成战略合作(C轮)，完成 B 轮数千万美元融资(B轮)，完成天使轮数百万美元融资(天使轮)
2000人以上
http://www.liulishuo.com"
数据分析师,联洋国融数据智能部招聘,15k-30k,/北京 /,经验1-3年 /,硕士及以上 /,全职,"
数据丰富维度多，行业专家，工作弹性","
岗位职责
1. 搭建用户画像体系，服务基于短信的征信产品的开发；
2. 构建征信业务相关的模型分，如反欺诈，信用等；
3. 与合作方或客户联合开发数据产品，信用分，配合落地项目。对接客户服务型项目，分析客户需求并落地实施；
4. 构建营销侧用户画像，搭建营销评分体系；
5. 搭建金融信贷领域NPV模型；
6. 搭建营销领域LTV客户价值模型；
职位要求
1．  计算机、统计、数学相关专业，本科及以上学历；
2．  熟练掌握常见的机器学习算法的理论及实践，如LR GBDT RF等；
3．  具有较强的工程能力，熟练使用R SAS Python中一到两种语言；
4．  掌握一定的分布式分析工具，如hive spark等；
5．  突出的逻辑思维能力与解决问题的能力，能够对业务问题做抽象分解并转化为分析问题；
6．  具有较强的责任心和沟通能力；
7.  有消费金融机构、互联网金融机构、三方征信或精准营销相关工作经验者优先；
在校可实习","北京 - 西城区 - 北三环中路29号院3号楼507，北京茅台大厦
","联洋国融
数据服务
天使轮
50-150人
https://www.lagou.com/gon..."
数据分析师,多快好省技术部招聘,8k-16k,/厦门 /,经验1-3年 /,本科及以上 /,全职,"
弹性上班，周末双休，五险一金 免费午晚餐","
职位诱惑：
薪酬福利好,平台背景强,成长空间大,团队氛围好

你将加入的团队：
谁牛金融是互联网金融行业中专注于基金投资的平台。由厦门市鑫鼎盛控股有限公司（成立于1997年）旗下子公司厦门多快好省网络科技有限公司运营，多快好省成立于2013年。

团队的定位
p2p行业？小而乱的代销平台？错错错！我们是证监会批准的第三方基金销售机构。我们开发出业内首款基金智能诊断产品，希望能够帮助更多的用户挑选到更加优质的基金。
  为什么我们团队有底气
因为我们不需要融资，因为我们控股公司实力雄厚，因为我们拥有稀缺的牌照资源（证券投资咨询业务资格、基金销售业务资格、私募基金业务金融机构资格等）等等等等...因此我们有来自后方的大力支持，我们有各种稀缺牌照作为基垫，所以我们才能毫无顾忌得往前冲

岗位职责： 
1、负责数据分析体系的建设，完善部门日常数据报表与分析指标，实现自动化生产分析报告；
2、根据部门业务需要，开展专题数据分析工作；
3、对业务数据进行分析和挖掘，为精细化运营管理提供数据支持；
4、负责用户行为数据分析，通过监控及分析，推动产品改进，运营调整。 
5、建设自助式数据分析平台，提供数据化、可视化、智能化服务平台； 
6、基于用户、场景和行为大数据，建立分析模型，持续完善用户画像，用户行为建模；


岗位要求
1、 扎实的数学和统计学专业知识，掌握数据挖掘基本理论；
2、三年或以上数据分析工作经验或数据产品经理，后台产品经理经验
3、熟练使用SQL语言查询数据，熟悉EXCEL函数及数据透视表；
4、出色的逻辑能力和对数据敏感度；有细心，耐心，责任心；良好的沟通表达以及快速学习的能力；
5、熟练使用爬虫工具，能够爬取外部网页数据；
6、有运营的敏感度，能够将数据统计分析的方法与行业信息／公司优势相结合；
7、熟悉用户生命周期理论和AARRR模型，能够将数据分析方法与具体业务相结合；
8、有电商／金融行业从业经验优先考虑。


我们能为你提供：
1、弹性上班，只要9点半前，睡醒了来，为你错开高峰期，坐一趟舒适的地铁。
2、工作日的你为公司辛勤付出，周末让你好好的休息两天
3、法定节假日补班？NO!假期是你的还是你的
4、绩效奖金在不远处等着你
5、为你缴纳五险一金，让你们没有后顾之忧
6、免费提供午餐和晚餐
7、你的加班打车费不论多远我包了
8、当你饿了，我们的下午茶、零食水果都在你身边。
9、当你累了，我们带你到户外休闲放松。

这么有爱的团队，你还要错过吗？","厦门 - 思明区 - 鹭江道2号第一广场15楼
","多快好省
金融
不需要融资
50-150人
http://www.dkhs.com"
数据分析师（空间数据分析）,脉策数据数据科学招聘,10k-20k,/上海 /,经验不限 /,硕士及以上 /,全职,"
弹性工作,薪酬福利好,技术驱动,大牛互助","
岗位描述：
1.    根据要求从数据源提取相关的统计数据、空间数据等进行多种交叉分析、建模分析等；
2.    对分析结果进行可视化呈现；
3.    对数据分析结果进行解释和解读
4.    完成数据分析报告；
5.    配合开发团队进行模型的工程化
  岗位要求：
1.    硕士及以上学历，地理信息系统、计算机、统计、等相关专业；
2.    ArcGIS。熟练掌握ArcGIS中各类空间数据处理、空间计算及空间分析功能。
3.    熟悉Python、R等至少一项数据分析工具。具备较强的逻辑分析能力、数据敏感性；有处理GB级别数据处理经验者优先。至少掌握常用的数据处理工具包，例如：pandas、numpy（Python），dplyr（R）等
4.    熟悉PostgreSQL，有PostGIS、PgRouting等相关模块的使用经验者优先。
5.    熟悉常用机器学习算法，具有一定的工程实现能力的优先。
6.   了解地理信息和有地产相关行业经验的优先；","上海 - 杨浦区 - 五角场 - 政学路51号11层
","脉策数据
数据服务,企业服务
A轮
50-150人
http://www.metrodata.cn"
数据分析师,Magic Tavern招聘,25k-30k,/北京 /,经验3-5年 /,本科及以上 /,全职,"
游戏出海 行业前三 国际化团队","
岗位职责
1.负责手机游戏日常数据监控、预警、分析、挖掘工作；对产品调优、产品运营提供有力数据支持；
2.定期进行运营、渠道以及市场分析；发现潜在问题，挖掘产品潜力，提出合理执行建议；
3.定向活动以及功能分析，根据历史数据给出活动及功能制定建议；上线后表现分析总结，给出合理改进优化建议；
4.开展专题式深度产品及市场分析挖掘，分析建模、数据检验、产出分析报告；指导产品调优、运营策略制定；
5.参与数据产品建设；与其它部门协作，解读其它部门对数据产品的需求，制定合理数据产品需求，参与数据产品落地。

任职要求
1.本科以上学历，3年以上游戏或互联网数据分析经验；数理逻辑清晰，数据敏感度高；数学专业、统计学专业优先；
2.熟悉游戏业务指标使用方法及场景，能够独立完成游戏业务分析；
3.熟练使用SQL语句、EXCEL；掌握SPSS、R、SAS等其中一种分析工具；
4.具有一定的数据挖掘、建模、预测能力；可独立对游戏进行深入挖掘
5.良好的沟通能力、文档表达能力、部门协作能力；
6.出色的学习能力，能够快速融入业务；能够根据业务需求不断提升自己；
7.有独立完成游戏产品数据分析工作者优先。","北京 - 朝阳区 - 霄云路26号鹏润大厦
","Magic Tavern
游戏
不需要融资
150-500人
https://www.magictavern.com/"
数据分析师,拉勾网经营管理部招聘,10k-18k,/北京 /,经验1-3年 /,本科及以上 /,全职,"
业务数据；可视化；分析","
岗位要求：
1、本科及以上学历，统计、数学、社会学或计算机等相关专业；
2、熟练掌握定性、定量研究方法，熟练使用Excel、sql、tableau 等数据处理和分析工具，熟悉spark、hive；
3、数据敏感、逻辑清晰、业务理解力强，能从数据中获得业务洞察，清晰了解业务重点和状况；
4、优秀的信息搜集、数据分析、撰写报告及结构化的分析思考能力，能够形成清晰的业务观点；
5、有数据分析及建模相关经验，如：用户画像、财报研究、商业变现分析等。

岗位职责：
1、业务分析：
深入业务，了解业务痛点，为业务线建立数据支持体系，通过数据为业务优化提供效果评估及数据决策支持；
2、用户模型：
构建用户分析体系，包含用户行为分析、用户画像分析等，挖掘潜在的规律趋势，协助业务进行策略优化；
3、行业分析：
关注行业前沿动态，研究和分析行业发展趋势，量化分析价值和影响，产出专业行业分析报告；
4、目标监测：
跟进和监督各业务目标完成情况，定期进行业务经营成果复盘，有效提供改进策略和实施建议。","北京 - 海淀区 - 苏州街 - 中关村创业大街34号海置创投大厦4层
","拉勾网
企业服务
D轮及以上
东方弘道(C轮,天使轮)，真格基金(天使轮)，前程无忧(D轮及以上)，启明创投，贝塔斯曼(B轮)，贝塔斯曼(A轮)
500-2000人
http://www.lagou.com"
数据分析师,成都爱找我科技有限公司招聘,10k-20k,/成都 /,经验3-5年 /,本科及以上 /,全职,"
高薪、快速发展、未来独角兽","
岗位职责：
（1）配合产品、运营、商业数据分析人员，完成定量数据分析，数据指标的定义等相关工作；
（2）指导和配合埋点和后台日志人员的工作；
（3）定量数据分析工作；
 任职：
（1）3-5年的工作经验，本科以上学历，数学、统计学或者经济学专业优先
（2）掌握R语言、Python语言，数据库编程语言技术；
（3）逻辑思维能力强，分析能力强；
（4）能迅速融入团队，进行工作开展；","成都 - 锦江区 - 桦彩路158号德必川报易园
","成都爱找我科技有限公司
移动互联网,消费生活
A轮
50-150人
http://www.lagou.com/gong..."
