,描述,标题,链接
0,栏目定位健康养生类栏目。以“献给亲人的爱”为栏目理念，邀请国内顶级中医养生专家以浅显易懂的方式，传递最实用的养生知识。播出信息时长：60’x7首播时间：周一至周日17:25首播频道：BTV北京卫视重播时间：无主持人洪悦、刘婧、陈赛洪悦刘婧陈赛,养生堂,https://www.btime.com/btv/btvws_yst
1,每一次呼吸、每一次心跳，都是生命赋予的礼物。生命因爱的存在而灿烂，因爱的陪伴而顽强。11月12日起，每周一21:18，北京卫视大型公益“治愈系”纪实季播节目《生命的礼物》第二季与您分享生命背后关于爱的故事。节目由北京卫视王牌纪实团队制作，通过嘉宾24小时“零距离”公益陪伴，打造“全中国12间最阳光最温暖的病房”，传递乐观、积极的正能量。,生命缘,https://www.btime.com/btv/btvws_smy
2,栏目定位：美食类专题栏目。通过“带个厨师回家”的全新视角，将美食与家庭成员间的亲情故事完美呈现。在轻松愉快的氛围中展示烹饪技巧、生活窍门、养生智慧。播出信息：时长45′x7首播时间周一至周日16:35首播频道BTV北京卫视重播时间无主持人李佳璇、曹端端,暖暖的味道,https://www.btime.com/btv/btvws_nndwd
3,北京卫视家装改造电视真人秀节目《暖暖的新家》之《这样装齐了》于5月14日周一21：18暖心回归！本季《这样装齐了》在《暖暖的新家》基础上进行了全新升级改版，不仅集结了国内外业界顶级的设计师组成高颜值“设计天团”，更拥有业主反选设计师并全程参与家装改造的高能设定！“大长腿”、“九头身”设计师王希元；曾与建筑大师扎哈·哈迪德共事的申江海；创下10万元爆改三套老房神话的“沪上爆改小王子”张玉杰共同组建“设计天团”，为堪称“史上最纠结”的各种户型打造“脑洞设计”，让暖家由心而发，让老宅蜕变重生！,暖暖的新家,https://www.btime.com/btv/btvws_nndxj
4,由故宫博物院与北京电视台共同出品的大型纪录片《紫禁城》、大型文化季播节目《上新了·故宫》新闻发布会于10月17日上午在故宫博物院建福宫花园隆重举行。故宫博物院院长单霁翔、北京市委宣传部副部长余俊生、北京广播电视台台长李春良等出席发布会，助力故宫文化传承，重申时代创新的使命感，展现了600年故宫的厚重历史与勃勃生机。《紫禁城》是为纪念2020年紫禁城建成600周年、故宫博物院建院95周年而推出的大型纪录片，计划将于2020年9月上线。该纪录片将立足于中华文明的高度和世界文明的维度，推出以故宫为核心内容、纵横古今、放眼全球的纪录片扛鼎精品。《紫禁城》将深入探寻昔日皇宫隐秘角落，全面呈现海量珍贵文物文献，为实现“把壮美的紫禁城完整地交给下一个六百年”的愿景，为成就最深沉的文化自信的宏图，贡献首都媒体的担当和力量。作为纪录片《紫禁城》的阶段性成果，北京卫视大型文化季播节目《上新了·故宫》即将于10月26日周五晚21：00分播出。节目中，文创新品开发员邓伦、周一围及神秘嘉宾将跟随故宫专家进宫识宝，探寻故宫傲世的珍贵宝藏和深厚的历史文化，并联手知名设计师和高校设计专业学生大开脑洞，每期节目都将诞生一个引领热潮的文化创意衍生品，打通受众与故宫文化双向互动的新连结，让故宫文化被更多年轻人“带回家”。故宫博物院院长单霁翔发表致辞故宫文创新品开发员邓伦、周一围分享录制感言在《紫禁城》《上新了·故宫》新闻发布会上，故宫博物院院长单霁翔首先进行致辞。“《紫禁城》《上新了·故宫》较之前的合作是更全面更生动更细腻的表现形式。恰逢‘故宫古建筑整体维修保护工程’和‘平安故宫’工程，希望借助北京卫视两档节目让故宫变得更加可爱、平安、可持续发展”。立足中华文化传承与创新的高度，单院长用生动风趣的语言阐明故宫文化、中华文化的与时俱进，展现故宫包含厚重文化历史底蕴的同时，不断蓬勃生长的时代力量。发布会上，北京广播电视台台长李春良从《紫禁城》《上新了·故宫》的立意出发，介绍了北京电视台在文化传承领域的运作战略和成绩。在发言中李台长还透露将通过这两档节目以喜闻乐见和年轻化的方式来展现故宫，同时自信展望两档节目将成为故宫新名片，北京卫视新“爆款”。单霁翔院长还向节目联合出品方华传文化、制作方春田影视颁发了大型文化季播节目《上新了·故宫》“故宫文化创新合作机构”任命书，向邓伦、周一围颁发了大型文化季播节目《上新了·故宫》“故宫文创新品特邀开发员”任命书。盛装出席的邓伦、周一围发表感言，分享了录制节目过程中的心得与感悟，以及有幸能参与传播故宫文化的荣耀感。周一围坦言亲自面对故宫和文物的感受与想象中完全不同，“新品开发员的任务是让故宫文化活起来，我们找到了一种方式：让文物变为文创，文创变为产品，让更多想了解而不能身临其境的人一起找回传统文化的真实”。邓伦也表示“作为年轻演员，一直想找到一个途径来了解故宫文化。在《上新了·故宫》节目中，希望通过我，通过更多年轻人，和哥哥一起努力传播传统文化……录制时不仅是外表的震撼，通过几代皇帝用过的物品和其他细节，有一种相隔几百年‘在一起’的感觉。”以年轻力量赋予故宫新活力引领文化新潮流故宫作为中华优秀传统文化的象征、中外文化交流的场所和见证者，承载着国家记忆，彰显着中华文化实力。《上新了·故宫》不仅要展现故宫强大的文化生命力，更要以年轻视角和文创载体，融合充满创意的好奇心与想象力，全民大开脑洞，征集各类设计Idea，挖掘每个人心目中的“故宫”，让年轻力量赋予故宫新生的文化活力。据介绍，节目中还将有部分故宫未开放区域首次亮相，节目嘉宾进入其中进行历史文化故事的探索。除了邓伦、周一围外，节目还邀请了宁静、蔡少芬、王丽坤等众多明星加盟，期待《上新了·故宫》再掀文化类综艺热潮，引领文化创新潮流。节目由故宫博物院和北京电视台出品，华传文化联合出品，春田影视制作，将于10月26日起每周五晚21:00分登陆北京卫视。,上新了·故宫,https://www.btime.com/btv/btvws_gugong
5,栏目定位纪实栏目。以真实的历史档案和历史史料为核心，用大众喜闻乐见的故事讲述方式，结合演播室的多种视听手段和舞台再现艺术，带领观众重回历史现场，揭秘历史背后的真相。播出信息时长：50′x3；首播时间：周一至周三22:35；首播频道：BTV北京卫视；重播时间：无主持人谭江海、王旭东,档案,https://www.btime.com/btv/btvws_da
6,大型成长观察类育儿亲子节目《爱幼星球》，以引领中国育儿群体科学掌握育儿方法为宗旨，每期节目围绕一个育儿主题开展深入讨论。节目邀请著名主持人朱丹担任“爱幼星球”的舰长，与爱幼星球副舰长小智伴、地球交流生李湘、家庭护卫队李洁、张雅莲、闫琦等，共同探讨育儿难题，帮助地球家长学习科学育儿知识，给观众传递输出实用性强的育儿干货。《爱幼星球》将于8月15日起，每周三22:05在北京卫视播出。,爱幼星球,https://www.btime.com/btv/btvws_ayxq
7,栏目定位生活服务类栏目。以权威准确的医学健康知识为核心，以轻松活泼的脱口秀形式为外壳，打造全国首支医生主持团，通过最有趣的互动、最权威的讲解、最直观的实证，在快乐的气氛中，向大众传播最科学准确的健康医学服务知识。播出信息时长：70’x1首播时间：周四21：19首播频道：BTV北京卫视重播时间：无主持人刘洪悦；外请：王成钢、李建平、栾杰,我是大医生,https://www.btime.com/btv/btvws_dys
8,一、节目立意宗旨《向前一步》是北京电视台制作的第一档人和公共领域沟通的节目，第一档城市公民与公共政策对话的节目，第一档以公德心为初心的节目，是中国第一个公民课堂。目前每周五21:05在北京卫视播出。旨在建立公共意识，普及公共价值，构建公共情感。目的就是给更多人进行公共政策的解读，最大程度释放公共政策的善意，重在培养市民的公共意识。让市民成为公民，让我成为我们，让孤岛炼成大陆。与此同时，这个节目在北京城市发展进程中搭建起这个公共平台的重要作用还可以体现公民意识的觉醒和对于城市发展的多元声音，为城市管理者充分阐述公共政策、寻找城市最大公约数、达成共识、共同发展创造条件。二、节目模式创新节目是演播室访谈。以“向前一步”为核心模式点，构建多维度关系。第一次把演播室设置在篮球场里，把篮球场中线设置为“分歧线”，以被沟通者能否向前一步跨过分歧线为最终悬念，寓意少数人的向前的一小步，汇聚成整个社会民众公共意识向前跨越的一大步。同时，大家站在线的两侧，在平等的沟通与精彩的意见交锋中，最大程度释放公共政策的理性与善意，为更多人进行公共政策解读，普及公共价值，建立公共意识。希望最终，都能“向前一步”，跨越脚下的“分歧线”达成共识。三、真诚沟通调性从群众中来，到群众中去，一定是通过多数人来说服少数人。节目把镜头朝下，深入基层工作，深入了解在城市发展社会转型过程中，阶层中遇到的问题，抓住基层工作的主要矛盾，把刚性的政策做到柔软，做出道理，做出情感，让“不服”的人“忘了利益场”。通过法律法规、愿景图纸、规划原理、经济算账、一线基层工作人的耐心沟通等多种方式方法，善意引导，真诚沟通。这是一个基于公共利益的真诚的、讲理、讲情、走心的节目。,向前一步,https://www.btime.com/btv/btvws_xqyb
9,,跨界喜剧王,http://special.btime.com/30c5mgnr3oi9u1prdivscgci1uh.shtml
10,北京卫视康美新鲜人参《时光的味道》是一档旅游美食情感类真人秀节目，明星嘉宾将与他们的亲密好友以记忆美食为线、以城市印记为题展开的一段精彩之旅；通过3天2夜的朝夕相处，为观众展现友情的神秘地带，并填充人生中的时光相册；在属于两个人的私密空间“时光营地”中，揭秘嘉宾生活中最独家的情感故事，以最放松、最自然的相处模式展示最真实的情感。节目将邀请明星嘉宾们携手他（她）的密友，共同将忙碌的生活暂且搁置，来一次不一样的时光之旅。“时光特派员”陈正飞将带领黄宗泽、张静初、谭松韵、朱雨辰、马可、张哲瀚等知名艺人和他们的老友，前往日本、西班牙、四川、吉林长白山等国内外美食胜地，寻找最优质的食材，亲手制作出心目中充满记忆的味道。节目中，我们不仅能见证明星嘉宾与他们生活中的亲密老友之间或默契、或调侃、或火花四射、或嬉笑吵闹的日常，更能通过节目设置的“私密空间”窥探他们私下生活中的真实一面。谁是隐藏的烹饪高手？谁有哪些不为人知的“小怪癖”？谁的多年友情竟然是“塑料情”？除了老友之间另类的相处日常，还会有哪些重磅爆料让人惊掉下巴呢？通过这段轻松自由的行程，他们又会展现出哪些隐藏在幕后的真实一面呢？让我们拭目以待。《时光的味道》这档暖心综艺将与嘉宾和老友一起追溯曾经的美好时光、找回最亲近的彼此，与大家共同见证“时光不老，我们不散”的珍贵情谊。节目将于9月16日起每周日晚22:00在北京卫视播出，敬请期待！,时光的味道,https://www.btime.com/btv/btvws_sgdwd
11,北京卫视户外正能量社会观察纪实类节目《但愿人长久》第二季7月1日起每周日晚21：15开播，本季节目不仅将延续第一季温暖、陪伴式治愈的模式，“密悦团”3位成员刘晓庆、悦悦、孙嘉灵还将一起通过女性视角，和每期的飞行嘉宾去往全国各地，探访身边那些平凡而伟大的人们，走进他们的生活和情感，发现美、记录美、传达美。在如今偏爱男性主导的“他综艺”模式下，《但愿人长久》第二季首创“她综艺”的全新概念，全面展现“她时代”的情感力量。,但愿人长久,https://www.btime.com/btv/btvws_dyrcj
12,为在新时代发展评书艺术、开启民族文化传承创新，北京卫视潜心打造评书文化类节目《北京评书大会》，把评书艺术重新请上电视舞台，重温经典，致敬大师，为全国观众献上诚意之作。《北京评书大会》将还原传统京味书馆的真实风貌，在忠实记录评书表演的基础上，大胆融入书画、音乐和纪实真人秀等视觉元素，让里面的一桌一椅、一茶一画，都成为评书艺术的时代注脚，让观众感受到原汁原味的评书艺术魅力和老北京的文化底蕴。节目中邀请老中青少四代评书表演者同台，为观众带来新老结合的经典书目，评书新说演绎四代同台、师徒联袂的传承故事。节目中设置了“书童”的角色，将贯穿全篇，成为点睛之笔。《北京评书大会》将从2017年11月28日起每周二至周五9：05登陆北京卫视。相关资讯：刘兰芳田连元连丽如联袂助力《北京评书大会》,北京评书大会,https://www.btime.com/btv/btvws_bjpsdh
13,,电视先锋榜,https://www.btime.com/btv/btvws_xfb
14,北京卫视全新人文类综艺节目《非凡匠心》，由张国立领衔参与，王刚、张铁林、赵丽颖、郑恺、沈腾等明星好友组团加盟，节目将在寻找国宝文化传承者和珍稀工艺匠人的过程中，带领观众体验精彩的传统文化之旅。2017年1月15日20:30，《非凡匠心》温情首播，与您共度快乐周末，敬请关注！,非凡匠心,https://www.btime.com/btv/btvws_bfdjx
15,北京卫视《向往的空间》是中国首档明星跨界惊喜家装改造节目，与平常的以“造房”“硬装”为主的装修节目不同，它以“软装”为主，不砸一砖一墙，在7至10天的短时间内，用最划算的软装方案让你居住的空间“大变身”！除了有设计界顶级大咖担当“空间魔法师”，还有演艺明星的跨界加盟，联袂为你专属打造“向往的空间”！同时，还开设DIY小课堂，教你自己设计、自己动手、自己装修！《向往的空间》1月9日起每周二晚21:08于北京卫视播出，敬请关注！,向往的空间,https://www.btime.com/btv/btvws_xwdkj
16,北京卫视大型原创新锐语言竞技真人秀节目，节目将冷静拆解亲情、友情、理想、人生等多元话题，帮助选手阐述观点、表达情感，并通过竞技坚定信念、重拾斗志，由陈鲁豫、乐嘉、王刚三位嘉宾加盟。播出时间：每周五晚21:08,我是演说家,https://www.btime.com/btv/btvws_wsysj
17,大型文化创意创投季播节目《创意中国》第二季于10月27日起每周六晚22:05在北京卫视播出。本季节目由马丁担纲主持，姚劲波、华少担任“创意召集人”，每期节目将有4个创意项目对面100位投资人组成天使投资团的选择最终晋级年度创意盛典。全新的对垒赛制，上演文化与创意的深度碰撞；顶尖的视觉呈现，带来耳目一新的华彩盛宴；商业大咖坐镇，投资机构加盟；40位文化创客为梦想而战！精彩内容，邀您共赏。,创意中国,https://www.btime.com/btv/btvws_cyzg
18,,念念不忘,https://www.btime.com/btv/btvws_nnbw
19,原创明星冰上“全景式真实秀”《跨界冰雪王》来了！节目创建了一个“明星冬令营”，8位明星在“营长”张艺谋的带领下，由奥运冠军申雪、赵宏博亲历冰上技巧指导，让零滑冰基础的明星们，可以在冰上优雅飞舞，完美旋转。在长达三个月的时间里，营员们接受冰上艰苦又充满乐趣的技巧训练，以及冰上表演的高压打磨。同时他们在“未知”的情况下，远赴“目标的”完成各项冰上挑战任务，最终用最大的努力呈现一场场美轮美奂的冰上表演以及原创冰雪奇幻秀。节目不仅仅让观众看到这些精彩的大秀，同时也采用全景式真实秀的拍摄方式体现、表达这个充满悬念，充满泪点笑点的独特经历以及明星们从平凡到超凡的成长过程。这是一档从节目内核到节目形式都极为特别的综艺真人秀。原创明星冰上“全景式真实秀”《跨界冰雪王》由北京电视台、华策天映传媒、北京华彬文化基金会、上海举起影视文化工作室联合出品，由华策天映传媒全案制作。《跨界冰雪王》定档1月7日，每周六晚8:30与您相约，敬请关注。,跨界冰雪王,https://www.btime.com/btv/btvws_kjbxw
