,职位名称,招聘部门,薪资,地区,工作经验,学历,工作性质,职位诱惑,职位描述,工作地址,公司信息
0,文本挖掘/自然语言处理工程师,飞常准服务资讯部招聘,7k-14k,/合肥 /,经验3-5年 /,本科及以上 /,全职,"
年度旅游,六险一金,带薪年假,绩效奖金","
1.搭建并维护自然语言处理相关的基础技术设施；
2.NLP基础工具运用和改进，包括分词、词性标注、命名实习识别、新词发现、句法、语义分析和识别等；
3.负责探索并引入人工智能NLP新技术，与行业场景结合应用；
4.基于领域数据进行场景会话意图分析及挖掘；
5.参与文本意图分析，包括文本分类和聚类，拼写纠错，实体识别与消歧，中心词提取，短文本理解等；
6.有较强的提取信息分析整合能力，可以将新技术转化为产品相关研发。

任职要求：
1.熟练掌握C/C++/Java/Python等至少一门编程语言；
2.有咨询公司文本分析等相关经验优先；
3.熟悉常用分词算法、情感分析、本体识别、特征提取、文本分类预测、文本聚合算法优先；
4.思路清晰，主动性强，有较强的自我驱动力；
5.责任心强，能承受工作压力，良好的沟通交流能力，能迅速融入团队；
6.对于把大数据分析的结果能过应用到实际业务场景产生商业价值具有强烈的热情。","合肥 - 蜀山区 - 潜山路 - 潜山路新华国际广场A座17层
","飞常准
移动互联网
不需要融资
500-2000人
http://www.variflight.com/"
1,NLP自然语言处理工程师,虎博科技技术部招聘,18k-36k,/上海 /,经验1-3年 /,本科及以上 /,全职,"
硅谷大牛,股权激励,绩效奖金,极客氛围","
职位职责

1.负责文本信息中的知识提取以及知识图谱构建工作
2.负责意图识别、召回排序等搜索策略设计开发工作
3.利用NLP和机器学习相关理论和方法解决实际问题，持续迭代提升效果和用户体验。

任职要求

1. 1-3年自然语言处理或机器学习相关经验，熟悉常用的NLP方法与模型；
2.精通至少一门编程语言，如Java/Python；
3.具备深度学习经验，搜索排序模型研发经验优先；
4.优秀的逻辑推理，问题分析和实践动手能力；
5.有强烈求知欲和创业精神，勇于面对挑战。","上海 - 长宁区 - 镇宁路 - 愚园路753号E栋802室
","虎博科技
移动互联网,金融
A轮
PAC、宜信新金融产业投资基金、高榕资本(A轮)，新创建集团、高榕资本、新鸿基公司(A轮)，高榕资本、点亮基金和大众点评创始人张涛(天使轮)
50-150人
https://www.tigerobo.com"
2,NLP自然语言工程师 (MJ001682),欢聚时代（YY Inc）客服中心招聘,15k-30k,/广州 /,经验不限 /,本科及以上 /,全职,"
福利多,平台大","
岗位职责：
- 负责自然语言处理技术在人际对话，自动问答等方向的算法开发
- 负责上述算法在客服平台的实现

岗位要求：
1、本科以上学历，人工智能或计算机专业，3年以上工作经验，优秀者可无视学历要求
2、熟悉自然语言处理相关领域的知识与技能，有扎实的算法基础
3、在人际交互，智能问答，文本检索以及语义理解方向有具体的经验
4、有LR/GMM/SVM/CRF/MaxEnt/HMM/LDA/DNN/CNN/RNN的研究背景
5、掌握一种常见的深度学习框架，例如caffe，tensorflow，PyTorch等
6、良好的数学基础，良好的沟通能力，良好的团队合作精神","广州 - 番禺区 - 广州市番禺区南村镇万博商务区万达商业广场北区B-1栋
","欢聚时代（YY Inc）
文娱丨内容
上市公司
2000人以上
http://www.huanju.cn"
3,【2020校招】自然语言处理工程师,陌陌大数据部招聘,15k-25k,/北京 /,经验应届毕业生 /,本科及以上 /,全职,"
福利待遇好，发展前景好","
岗位职责：
1、负责和参与优化文本分类、聚类，文本相似性，语言模型，情感分析，深度生成模型、深度匹配模型等工作，持续改进和升级现有产品；
2、对涉及到文本方面的产品需求，能够参与思考同时提出解决方案，并开发实施；
3、跟进文本挖掘相关领域最新技术，对产品提出合理的改进建议，对现有技术方案进行演进，同时探讨和开发新的产品。
岗位要求：
1、计算机、应用数学、统计等相关专业硕士及以上学历，有良好的数理基础；
2、熟练掌握常用的数据结构和算法，及Java/C/C++/Python等语言；
3、熟悉常见的机器学习、自然语言处理算法；
4、至少在以下一个或多个领域有过研究或工程经验：文本分类、知识图谱、文本挖掘、文本相似性、命名实体识别、分词、信息检索、Q&A、机器翻译；
5、具有良好的逻辑思维能力，能够主动发现问题，分析问题，良好的团队合作和沟通能力，良好的工作态度和自我驱动力。

符合以下条件优先：
1、优秀的分析和解决问题的能力，对解决具有挑战性问题充满激情；
2、熟悉Hadoop/Spark/tensorflow等相关平台。","北京 - 朝阳区 - 望京 - 阜通东大街1号望京Soho
","陌陌
社交
上市公司
500-2000人
http://www.immomo.com/"
4,nlp自然语言处理工程师,Flow++招聘,20k-40k,/北京 /,经验3-5年 /,本科及以上 /,全职,"
十四薪+七险一金+绩效金+下午茶+旅游","

1、负责中文分词、词性标注、海量数据处理与挖掘、知识库建设等研发工作； 2、负责分词、词性标注、句法分析、命名实体识别等NLP研发工作； 
3、负责语义解析、语言模型、文本结构化、意图识别、情感分析等研发工作； 4、负责NLP领域前沿算法及框架追踪，搭建Deep Learning for NLP平台； 5、其中熟悉两个方向或以上人员优先。 

任职要求： 
1、2年以上相关工作经验，精通NLP相关编程语言两种以上 并至少精通一种脚本语言； 
2、熟悉NLP领域一些开源的算法库或工具，比如：stanfordNLP，NLTK，Apache OpenNLP，Kaldi HTKHTS，Hadoop Mahout word2vec等； 
3、对自然语言处理、人工智能等具有浓厚的兴趣； 
4、熟悉基本机器学习算法； 
5、良好的团队合作精神，较强的沟通能力； 
6、精通编程Java，Python，C语言中的两种以上。
7、统招本科以上学历","北京 - 海淀区 - 西北旺 - 中关村软件园23号楼2层
","Flow++
信息安全,数据服务
A轮
百度风投、国家中小企业发展基金(A轮)，启迪之星等数百万天使投(天使轮)
50-150人
http://www.flowpp.com"
5,自然语言处理工程师,清帆科技感知计算组招聘,15k-30k,/北京 /,经验1-3年 /,本科及以上 /,全职,"
团队优秀,年13+薪,期权激励,带薪假多","
工作职责：
  1）负责分词、词性标注、依存文法分析、信息提取，挖掘等技术研发；
2）结合自然语言处理技术，设计适当的实施算法；技术实现，算法实验；
3）实现中文校对系统中纠错知识库的构造及纠错建议的产生算法。
    任职要求：
  1）拥有计算机或相关专业硕士以上学历学位（优秀的本科生也非常欢迎）；
2）具有丰富的自然语言处理专业知识，熟练掌握各种数据挖掘的算法与技术，具有实际的数据挖掘处理经验；
3）熟练掌握相关的开发工具和程序设计语言，具有一定的软件工程经验和良好的程序设计习惯；
4）熟悉自然语言处理、机器学习、模式识别等常用算法，对NLP方向有浓厚兴趣；
5）熟悉信息检索基本概念，有文本挖掘 （分类、聚类、摘要、结构化信息提取）、中文信息处理 （如分词与词性标注、命名实体识别、信息抽取系统、问答系统等）、知识系统等方面的研究与开发经验；
6）具备良好的数学和统计学基础；
7）实际处理过待校对文本中的常见错误类型，构造过纠错知识库并基于该纠错知识库做过自动纠错算法。","北京 - 海淀区 - 西北旺 - 中关村软件园立思辰大厦5层
","清帆科技
移动互联网,教育
A轮
立思辰集团(A轮)
15-50人
http://edubrain.ai/"
6,NLP工程师,闪送数据研究院招聘,20k-35k,/北京 /,经验3-5年 /,硕士及以上 /,全职,"
发展空间，福利优厚,弹性工作时,带薪年假","
NLP工程师
岗位职责：
1.构建NLP基础算法平台
2.对海量文本进行深度分析，包括中间号语音内容、用户评价、用户备注、舆情等分析。
3.跟踪学术界和业界最新进展，并能够快速应用到业务中。
  岗位要求：
1、计算机／数学／统计学／模式识别相关专业，硕士以上学历；
2、熟悉NLP和机器学习的理论基础，2年以上NLP工作经验，有海量数据挖掘、知识图谱研发经验优先；
3、具有优秀的编程能力，精通Python/C++/Java/Golang以及常用脚本语言；
4、在文本分析、语义分析、意图分析、词性标注、新词发现、词义消歧等领域有丰富经验优先；
5、责任心强，积极主动，有良好的沟通能力和团队合作能力；
  关键词：NLP、自然语言处理、语义分析、句法分析、NER","北京 - 海淀区 - 博彦科技大厦
","闪送
移动互联网
D轮及以上
500-2000人
http://www.ishansong.com"
7,AI Lab实习生-自然语言处理,字节跳动招聘,6k-10k,/上海 /,经验不限 /,本科及以上 /,实习,"
弹性工作，免费三餐，租房补贴，休闲下午茶","
职位职责：
1、向世界顶尖科学家学习交流机会，除了我们的科学家，我们团队中还有来自国内外名校（如CMU）担任顾问
2、人工智能、机器学习前沿研究结合产品应用解决大规模工业问题的机会，工作内容包括算法模型、数据爬取和挖掘、服务端维护和前后端开发等
3、供研究使用的独特的大规模文本、图像、视频、广告点击等数据

职位要求：
1、实习时间至少三个月，工作踏实优秀者有转正机会。
2、扎实的编程基础，熟练使用Linux操作系统，工作细心负责，扎实的数学和算法基础：概率统计、数值优化算法。
3、在机器学习、文本分类，情感分析，语法分析，机器翻译，对话等算法方面有经验者优先。
4、快速学习新技术的能力，并能够在较短时间内使用该项新技术，能够在较短时间内理解前沿论文并评价。
5、熟练掌握数据爬取和挖掘，或者有较多服务端维护经验者优先。","上海 - 徐汇区 - 田林路130号20号楼氪空间
","字节跳动
文娱丨内容
C轮
2000人以上
http://www.bytedance.com"
8,自然语言处理nlp工程师,水象科技招聘,15k-30k,/上海 /,经验1-3年 /,硕士及以上 /,全职,"
五险一金 双休 免费食堂 氛围好","
岗位职责：
1、负责特定领域数据提取，主要为业务提供关键数据
2、负责大规模文本数据库处理，包括生文本预处理、过滤，语言模型生成，未登录词识别等，语料库维护
岗位要求：
1、自然语言处理方向2年以上研究或工作经验，如分词、词性标注、实体识别、情感分析；

2、熟悉NLP方向国际上的一些研究方向和热点；

3、熟悉机器学习算法，熟悉文本语义分析算法；熟悉中文分词标注、文本分类、语言模型、知识库挖掘等NLP相关算法；

4、精通python或Java，数据结构，良好的沟通和团队合作能力；

5、有NLP方向系统工作经验；从事过实际爬虫开发、内容提取工作经验者优先；
6、计算机相关硕士及以上学历，211、985甚佳；","上海 - 闵行区 - 虹桥商务区
","水象科技
电商
未融资
2000人以上
http://www.waterelephant.cn"
9,NLP工程师,天眼查研发部招聘,15k-30k,/北京 /,经验不限 /,硕士及以上 /,全职,"
诱人的平台,超牛的技术,超棒的领导","
友情提示：我想让你更了解我（天眼查）是谁，投递简历前可以先下载【天眼查】app或者浏览网页端进行产品体验。

我们需要你
1.负责海量结构化数据的商业价值挖掘；
2.负责海量非结构化/半结构化数据的命名实体识别、实体间关系挖掘。

我们希望你
1.计算机等相关专业硕士及以上学位；
2.拥有以下任何方面的经验：机器学习、深度学习、计算机视觉、图片处理、自然语言理解、数据挖掘、算法优化；
3.拥有使用以下一种或多种语言编程的经验：Python/Java/C++/C；
【加分项】
1.拥有解决机器学习方面的现实问题的经验；
2.熟悉常用机器学习算法；

不可错过的福利待遇
1、国家高新科技企业，优秀员工有机会申请《北京市工作居住证》；
2、可为明星员工、硕士以上学历留学生解决北京市户口；
3、全年13+N薪，完善的五险一金；
4、一年两次涨薪机会；
5、大小周休息制，享有加班加时薪资补偿；
6、加班福利：提供多种口味免费晚餐，并享有额外饭补，9点以后打车全额报销，保障你的安全；
7、高标准的年度体检福利；
8、5A级别办公区，地铁出站口即是；
9、行业内领先的技术团队，千万量级用户产品，给你更优质的发展平台；
10、不定期团建活动，加入我们，让你不再孤单！","北京 - 海淀区 - 知春路 - 知春路63号中国卫星通信大厦B座23层
","天眼查
数据服务
A轮
中小企业发展基金，清控银杏创业投资管理（北京）有限公司(A轮)，投资方北京腾业创新投资管理中心(天使轮)
150-500人
http://www.tianyancha.com"
