职位名称,招聘部门,薪资,地区,工作经验,学历,工作性质,职位诱惑,职位描述,工作地址,公司信息
数据产品经理(助力车/顺风车),哈啰出行软件研发中心招聘,20k-40k,/上海 /,经验5-10年 /,本科及以上 /,全职,"
期权奖励","
职位描述
1. 梳理顺风车/助力车业务的数据指标体系，保证指标口径统一和数据准确
2. 调研需求，与用户增长、风控等业务方紧密合作，设计数据产品，输出PRD文档（包括但不限于报表、看板、数据集市、数据预警）
3. 跟进数据产品的研发、测试、上线全流程，对数据结果进行验收
4. 运营上线产品，收集反馈，迭代优化
职位要求
1. 本科及以上学历，211/985优先
2. 5年以上数据相关工作经验；1年以上产品经验
3. 熟悉SQL与数据建模原理
4. 出色的数据可视化设计能力
5. 掌握Axure、MindManager等基本产品工具
6. 优秀的书面和口头沟通能力，良好的服务意识","上海 - 闵行区 - 秀文路898号西子国际中心
","哈啰出行
移动互联网,硬件
D轮及以上
蚂蚁金服、成为资本、富士达、威马汽车等(D轮及以上)
2000人以上
http://www.hellobike.com"
数据产品经理,贝壳效率工程线招聘,20k-40k,/北京 /,经验3-5年 /,本科及以上 /,全职,"
六险二金,免费三餐,带薪年假,十六薪","
岗位职责
1.基于对贝壳的深入理解，为业务和产品提供数据决策支持和解决方案；
2.通过对产品业务的研究分析，搭建相关数据指标体系，在业务洞察、用户洞察、结果归因、精细化运营等方面通过数据驱动产品业务发展；
3.负责相关业务产品部门的数据工作，包括业务指标管理，元数据维护、数据可视化、数据质量监控、需求对接、数据提取和计算等；
4.完成产品的策划、原型、流程和交互设计；协调业务部门、研发、测试等团队，推进产品化进程；关注产品的用户体验，掌握数据和场景的变化，持续优化已有的产品功能。
 任职资格： 
1.本科及以上学历，3年及以上数据产品或数据分析经验；
2.善于沟通，具有服务意识，良好的团队合作精神，具备较强的项目管理经验；
3.对数据敏感，逻辑性强，有一定的数据统计和运营分析能力；
4.熟悉运用SQL，对前端BI、底层DB有深入的了解，能够独立完成基础数据的探查工作，掌握Hive，spark等大数据工具者优先；
5.熟练使用Axure，Xmind，Excel，PPT等产品工具。","北京 - 海淀区 - 上地 - 开拓路11号福道大厦
","贝壳
房产家居
D轮及以上
2000人以上
http://www.ke.com"
数据产品经理（基础数据方向）,随手科技随手集团招聘,13k-25k,/深圳 /,经验3-5年 /,本科及以上 /,全职,"
团队氛围好，发展空间大","
岗位职责：
1、负责集团各业务中心之间数据流转需求处理工作，负责日常基础数据维护工作，负责集团自建商业智能工具底层支持工作；
2、搭建全集团的数据治理体系、推动驱动数据治理工作，确定数据治理流程与制度建设方案(包括技术方向评估和技术选型)；
3、负责集团大数据治理(元数据、数据标准、数据质量、数据资产目录)相关系统工具功能规划和总体方案设计；
4、推进数据标准、数据质量、元数据的管理等办法的实施，监督和检查相关管理办法的执行落地情况；
5、对数据质量负责：与业务数据所有者合作，建立数据质量业务规则，提出数据质量改进计划，挖掘数据价值。

任职要求：
1、统招大学本科及以上学历，计算机/软件/信息管理类相关专业；
2、三年及以上大型企业数据治理/数据标准项目管理相关工作经验，有数据仓库，数据集市，数据管控平台项目设计和实施经验者优先，具备咨询公司大数据或数据治理咨询经验者优先；
3、熟悉数据治理体系架构，对数据标准、数据质量、信息模型、元数据管理，数据维度建模方法有深入研究；
4、掌握主流数据仓库技术，理解 Hadoop、Hive、HBase、MapReduce、Flume、Kafka、Storm 一种或者几种；
5、熟练掌握Visio、MindManager、Axure等基本产品工具；精通SQL、Excel，至少熟悉一种脚本语言Python/shell；
6、具备owner意识，具备较强的沟通能力、具备良好的跨部门合作、较强的项目管理及资源协调能力；
7、熟悉金融业务流程及数据流转关系，对新技术敏感，学习能力强，逻辑思维强。","深圳 - 南山区 - 大冲 - 科技园金蝶软件园B座8楼北
","随手科技
金融
C轮
KKR集团（全球私募鼻祖）(C轮)，复星昆仲领投，红杉资本(B轮)，红杉资本(A轮)
500-2000人
http://www.sui.com/"
数据产品经理,威富通科技产品中心招聘,15k-30k,/深圳 /,经验3-5年 /,本科及以上 /,全职,"
六险一金、安居计划、年度健康体检","
岗位职责：
1、负责公司各业务方向大数据产品调研、产品规划、执行；  
2、深度挖掘大数据应用需求，设计大数据解决方案和产品；  
3、组织并推动完成数据产品的设计和研发，包括产品文档撰写、原型设计、跟踪产品开发进展、发布；
4、对用户体验负责，根据用户反馈、市场需求、数据分析等对产品进行持续优化；
5、参与其他中后台项目的用户调研、产品功能策划工作。
任职要求：
1、本科以上学历，计算机、统计学、数学等相关专业，3年及以上大数据产品或互联网数据产品设计经验；
2、丰富的产品经理工作经验：从需求确认、产品原型，PRD撰写、资源协调，产品上线后的跟进与项目管理；
3、对主流大数据产品、数据仓库、BI产品的现状和发展趋势有深入了解；
4、有参与过数据治理、数据仓库、数据分析与挖掘、数据可视化相关项目者优先；
5、具有一定的产品创新、风险评估及可行性分析能力；
6、富有激情，拥有较强的自我学习能力。","深圳 - 南山区 - 科技园 - 高新南一道中科大厦23楼
","威富通科技
移动互联网
上市公司
500-2000人
http://www.swiftpass.cn"
数据产品经理,兑吧数据产品招聘,20k-40k,/杭州 /,经验3-5年 /,本科及以上 /,全职,"
项目靠谱，团队靠谱，平台发展好","
岗位职责：
1. 负责数据/风控产品业务的产品规划、全链路数据采集、数据分析和数据应用；
2. 深度理解业务，提炼数据需求，提供产品化解决方案，推动各部门资源进行落地；
3. 持续跟踪行业动向和新技术，设计创新解决方案，确保数据/风控产品的市场竞争力。

任职要求：
1. 三年以上数据产品/开发经验，对广告行业的数据采集和应用有深刻理解，能够提出完整的产品方案。
2. 具备较强的数据分析能力，若有相关数据爬虫、数据开发、数据分析师经验尤佳；
3. 较强的onwer意识和结果导向意识，兼具优秀的执行力，能够在较大压力下快速响应业务需求，得到预期结果。","杭州 - 西湖区 - 文一路 - 杭州市文一西路98号数娱大厦702室
","兑吧
移动互联网
上市公司
兰馨亚洲、TPG(C轮)，云毅投资、前海国泰(B轮)
500-2000人
http://www.duiba.com.cn"
数据产品经理 (MJ000704),乐信消费金融线招聘,18k-30k,/深圳 /,经验3-5年 /,学历不限 /,全职,"
发展空间大","
【工作职责】
负责数据产品的规划和设计，以业务视角根据不同业务场景将之固化抽象成数据产品并跟进实现；
制定相关数据流程标准和规范，与业务产品、后台开发、数据开发密切协作，保证数据的生产、采集、加工及使用各环节高效有序；
深入理解业务，进行数据策略设计、搭建数据财务模型
通过数据洞察业务特征和潜在机会，给出有效的行动建议，从数据的角度推动公司运营决策、产品方向
【任职要求】
本科及以上学历；数学、统计及计算机相关专业，五年以上数据产品及分析相关工作经验；
具备良好的沟通能力和表达能力，有独立的数据产品项目经验并且能够独立领导、设计、执行数据项目；
良好的数据敏感度，对数据驱动业务有深入理解，有丰富的基于产品及用户的数据分析经验；
精通Excel，掌握Python、R、SPSS等任一数据分析工具；
具备较强的自驱力和推动力，具备较强的逻辑分析能力、学习能力，高度的责任心和团队合作精神","深圳 - 南山区 - 高科技中心中国储能大厦
","乐信
金融
上市公司
华晟资本、共建创投(CoBuilder Partners)和一家国内大型保险机构领投(D轮及以上)，京东C轮战略投资(C轮)，获得由DST、京东集团领投，贝塔斯曼等跟投的近1亿美元融资(B轮)，获经纬中国领投的近千万美元融资(A轮)，险峰长青（原险峰华兴）投资(天使轮)
2000人以上"
数据产品经理,数澜科技产品创新招聘,15k-25k,/杭州 /,经验3-5年 /,本科及以上 /,全职,"
六险一金、扁平化管理、弹性工作时间","
1、负责数澜行业应用数据产品从0到1的设计研发落地推广
2、数据产品主要工作：根据市场客户需求，并结合行业产品经验，抽象提炼出数据解决方案及产品的功能点，并进行产品架构、数据设计、流程图、产品原型、PRD、用户手册等文档产出
3、规划数据产品演进路径、商业模式的探索和商业素材的沉淀输出
4、组织和推动开发团队、运营团队、市场团队快速推进、落地产品，通过客户验证产品闭环和价值

岗位要求：
1、有B端行业产品从0到1经验优先
2、本科及以上学历，扎实的数据平台/数据产品开发或设计基础，3年以上相关经验，有独立负责大数据产品经验者为佳；
3、有丰富的产品设计和项目管理经验，并可以熟练使用Axure等工具进行产品的原型设计，具备SQL等技术开发经历或有数据平台产品经理从业经验的作为加分项；
4、具备较强的数据分析能力、逻辑思维能力、沟通能力，能够有效整合团队资源推动业务发展；
5、有很强的产品owner意识，良好的自我管理能力、环境适应能力和执行力，能较大压力下保持工作激情；
6、热爱数据，喜欢迎接挑战和承担责任，积极主动，高效的执行力。","杭州 - 余杭区 - 良睦路1288号梦想小镇创业集市3号楼
","数澜科技
企业服务,数据服务
A轮
获得天堂硅谷资本领投，IDG资本跟投的A+轮融资(A轮)，云锋基金领投，IDG资本、浙商产融及洪泰基金跟投(A轮)，获得IDG和湖畔山南千万级别天使轮投资(天使轮)
150-500人
http://www.dtwave.com/ind..."
数据产品经理,探知数据产品部招聘,18k-35k,/上海 /,经验3-5年 /,硕士及以上 /,全职,"
期权激励,高提成,不定时团建,晋升空间大","
岗位职责
1. 熟悉金融、互联网金融等行业业务模式，研究内外部数据的应用方向，结合客户需求和业务场景，对公司的数据资源进行系统性规划；
2. 构建数据资源评价与分析体系，测试、跟踪、分析、挖掘客户需求，形成数据产品并持续优化与跟进；
3. 挖掘海量的数据资源价值，进行深度诊断、组合分析、建模评分，以提高生产力；
4.与业务部门、技术部门保持良好的沟通协作，交付客户完整的数据分析解决方案。

任职要求
1. 统计、数学、信息技术等理科专业，本科及以上学历，具备2年左右数据挖掘或者模型算法工作经验 ；
2. 熟悉mysql等数据库语言，熟悉Python、R等数据挖掘工具，熟悉Tableau、Powerview、Cognos等数据可视化或商业智能工具；精通office办公软件；有数据仓库、数据平台、商业智能、数据可视化、数据模型、数据化运营经验者优先；
3. 有丰富的项目经验，有跨团队、部门的资源整合能力，能独立开展研究项目，能高效的与技术团队沟通，能独立编写数据分析报告，发现问题并推动落地；
4. 具备较强的逻辑思维能力、团队协作能力、沟通能力、学习能力，严谨的数据思维，独到的见解与创新意识；为人耐心细致、踏实负责、积极向上。","上海 - 静安区 - 西藏北路18号四行天地A座三楼
","探知数据
金融,数据服务
A轮
弘帆资本(天使轮)
50-150人
http://www.tanzhishuju.com"
数据产品经理,微链产品部招聘,15k-25k,/杭州 /,经验3-5年 /,本科及以上 /,全职,"
发展前景 五险一金 福利制度","
1、打造数据服务业务的能力，抽象用户需求形成数据产品的核心功能，赋能公司各个业务方，灵活支撑业务的创新和探索，让数据产生业务价值。
2、负责BI平台的内容、权限、数据源管理，推进平台的易用性和规范化。 
3、分析、挖掘产品需求，协同数据开发团队规划数据发展方向。 
4、定期市场调研、竞品分析、产品规划复盘及重定义。 
5、定期进行产品功能分析，不断迭代优化，提升用户整体满意度。
任职资格
1、具有3年以上互联网产品经验，有独立负责某个产品方向的经验，具备整体规划能力和执行能力。 
2、参与过数据体系或数据产品的搭建，有较好的业务需求抽象能力和产品设计能力。 
3、参与过推荐算法产品的搭建，有较好的逻辑思维能力。
4、熟练使用MySQL，有BI工具规划相关经验。 
5、本科及以上学历，计算机、统计、数学等专业背景优先。","杭州 - 西湖区 - 西溪 - 双龙街239号西投创智中心2号楼201室
","微链
移动互联网,企业服务
B轮
50-150人
https://www.lagou.com/gon..."
数据产品经理,TRADE X （上海）招聘,20k-40k,/上海 /,经验3-5年 /,本科及以上 /,全职,"
国际化团队，免费英语健身","
岗位职责：
1、 参与平台的数据产品设计和应用规划，制定产品计划； 
2、 负责和业务部门紧密合作，挖掘数据需求，优化数据流程及在业务上的应用； 
3、 负责数据平台包括客户画像、财务统计、数据分析等领域的数据产品设计，需求文档撰写，协调跨部门技术团队完成项目落地，并跟进开发、测试、验收全过程。

任职要求 
1、 熟练使用Axure等产品原型设计工具、具备较强的产品设计和规划能力；
2、 熟练使用 R, SQL, 有Python经验者优先
3、 有独立的数据分析、数据建模、数据产品化应用的设计能力； 
4、 思路清晰严谨，逻辑性强，注重细节；有较强的沟通能力，团队协作能力；有较强的学习能力，善于探索，主观能动性强； 
5、 有独立负责大型互联网数据平台、金融或保险数据项目优先。","上海 - 徐汇区 - 徐家汇 - WeWork国贸汇
","TRADE X （上海）
金融,汽车丨出行
不需要融资
50-150人
https://tradexport.cn/"
