职位名称,招聘部门,薪资,地区,工作经验,学历,工作性质,职位诱惑,职位描述,工作地址,公司信息
产品经理,星舆科技产品管理部招聘,15k-25k,/广州 /,经验5-10年 /,本科及以上 /,全职,"
人工智能 物联网 团队氛围 团队实力","
职位职责：
1. 负责软件、平台、APP等产品策划；
2. 产品从立项到上线的全生命周期的项目管理，对产出的系统和产品负责，包括不限于需求分析、市场调查报告、产品原型设计、各种技术文档撰写、产品测试、BUG跟踪、系统验证等；
3. 负责与程序开发、及公司其它业务部门之间的沟通协调工作，确保产品满足需求，用户体验良好，负责产品运营相关的分析，以数据为导向持续优化产品；
4. 按公司产品战略对所负责的产品进行长期规划，并制定实施方案。 
职位要求：
1. 本科以上学历，5年以上互联网软件产品、物联网与智能硬件产品等开发经验；
2. 主导并产出优秀产品的经历； 完整经历过一个以上完整的产品全生命周期； 
优秀的数据分析，沟通和协调能力，能够合理安排团队的工作任务。","广州 - 天河区 - 员村 - 平云路广电科技大厦301自编5号
","星舆科技
移动互联网,数据服务
A轮
深圳博汇源创业投资企业、湖南高新创业投资集团有限公司(A轮)
50-150人
https://www.starcart.cn"
产品经理（直播产品）,东方新闻秀场项目招聘,10k-20k,/上海 /,经验1-3年 /,学历不限 /,全职,"
免费班车,早餐,带薪病假,五险一金","
职位描述
1、共同完成直播产品整体用户体验、可玩性、商业化的发展规划及落地。
2、快速高效完成产品的敏捷迭代
3、负责产品功能设计，把控交互设计，推送产品迭代节奏进度
4、负责项目推荐过程中的跨部门协调沟通工作，能协调各资源确保项目顺利落地。

任职要求
1、1年以上互联网产品经验，热爱直播产品，并对直播产品有自己的产品见解
2、对聊天室、电台、视频直播类、社交、短视频产品有研究（至少有一项）
3、具备数量的数据分析能力，竞品分析能力，总结归纳能力。
4、有优秀的沟通能力和抗压能力
5、有一线直播平台工作经验优先
6、有参与过某个直播产品0-1经验呢优先","上海 - 浦东新区 - 张江 - 银冬路491号2幢
","东方新闻
移动互联网,社交
不需要融资
150-500人
http://www.songhengnet.com"
产品经理,掌上先机-旺店通ERP招聘,15k-30k,/北京 /,经验3-5年 /,本科及以上 /,全职,"
股票期权，年底双薪，每年两次调薪","
财务+供应链方向
【岗位职责】
1、负责产品需求设计以及文档编写；
2、协调产品各协作方，推进技术团队完成产品技术方案和计划实施，确保产品开发进度和质量；
3、对产品负责，及时跟进并处理日常中遇到的问题，推动持续运营及提高业务财务工作效率。
【岗位要求】
1、良好的需求分析和系统规划能力，精通axure等原型工具的使用；
2、2年及以上进销存产品设计经验，熟悉采购，销售，库存等模块，有电商行业经验优先；
3、熟悉财务相关的业务知识，了解用友或金蝶财务软件的使用，熟悉软件常用模块及供应链流程优先；
4、较强的沟通协调能力和学习能力，善于思考，有责任心和团队意识。","北京 - 海淀区 - 西直门北大街54号伊泰大厦5层
","掌上先机-旺店通ERP
移动互联网,电商
A轮
500-2000人
http://www.wangdian.cn"
产品经理（推荐系统）,大圣互动招聘,12k-24k,/北京 /,经验1-3年 /,本科及以上 /,全职,"
海外业务,技术团队,全额六险一金","
岗位职责：
1、负责内容结构化&信息安全相关系统的规划设计；
2、负责对业务运营数据进行数据挖掘和数据分析，发现系统的改进点和优化方向，推动产品升级；
3、对接算法、研发团队等，协调资源，推进产品的开发迭代与上线。
岗位要求：
1、本科以上学历，3年以上互联网行业产品工作经验，具备一定的英语英语沟通能力；
2、逻辑性好，学习能力强；执行力佳，做事积极主动，善于思考；有强推动力；性格开朗；有数据分析领域、内容分发领域大型互联网企业相关工作经验优先；
3、极强的逻辑性，有数据目标驱动的概念，能通过观察数据发觉业务变化和潜在问题；
4. 熟练掌握Axure、Visio、MindManage（或其他同类工具）等产品经理常用工具；","北京 - 朝阳区 - 大望路 - 大望路蓝堡国际中心
","大圣互动
移动互联网,文娱丨内容
B轮
小米、顺为、源码(B轮)，顺为领投，小米、源码跟投(A轮)
15-50人
http://www.lagou.com/gong..."
产品经理,云迈网络产品部招聘,10k-20k,/深圳 /,经验3-5年 /,本科及以上 /,全职,"
季度项目奖,丰厚年终奖,年度出国游","


  1.  负责客户端、管理后台以及小程序的产品规划及设计管理工作
  2.  制定产品业务规范，整理、完善产品需求文档
  3.  负责日常业务数据分析，对数据进一步加工及挖掘，反馈数据指标间关联信息指导业务决策计划实施
  4.  分析相关功能数据及用户行为与需求，收集用户反馈，不断优化和创新，提升产品各项关键指标
  5.  跟踪产品迭代版本的开发进度，沟通协调，负责产品验收并输出必要文档
  6.  能够有效与设计、运营、开发部门沟通，对迭代版本、运营活动的上线质量和时间负责

任职资格： 
  1.  本科及以上学历，3年以上产品经理工作经验，具备互联网社交、直播类领域相关产品设计经验者优先；
  2.  具备需求分析和业务流程设计方案撰写能力；
  3.  优秀的书面表达能力、口头表达能力和沟通协调能力，较强的分析问题和解决问题的能力；
  4.  逻辑思维能力强，学习力强，具备良好的团队协作意识；

其他：我们有着完善的薪资福利体系和丰富多彩的员工生活

1. 一年1-2次调薪；
2.年终奖：年底双薪；
3.娱乐旅游活动：不定期组织室内外活动、每年省外或国外游；
4.下午茶：公室零食饮料不限制提供，更有酸奶水果、每周一次下午茶会，各种无限制；
5.大事补贴:逢婚、育、大病等个人大事给予礼金；
6. 每月员工生日会：公司还为寿星准备礼物哦
7.节日补贴：节假日组织聚餐、各种节日礼品及现金补贴；
8.内部分享培训福利：鼓励内部或邀请外部牛人分享知识技能给予相应奖励；
9.休假福利：7天带薪年假、调休假、双休日/法定公众假期、婚假、丧假、产假、陪产假等；
10. 医疗：公司每年一次体检;
11. 文化书籍福利：买什么书你说了算，公司负责采购书本供借阅共享，提高知识技能（书籍类型不限）。","深圳 - 南山区 - 前海 - 智恒产业园E01B栋401
","云迈网络
移动互联网
不需要融资
50-150人
http://www.xiaoai.fm"
产品经理,房极客产品运营招聘,16k-26k,/深圳 /,经验3-5年 /,本科及以上 /,全职,"
弹性工作,高配团队,行业风口,快速成长","
岗位职责：
- 协助产品负责人，参与「看房日记」&「小鹿选房」的产品策划；
- 分析市场趋势、产品数据和用户行为，搭建产品&运营框架，为提升各项数据提供优化策略；
- 收集市场及用户反馈，整理版本需求；
- 设计产品方案，拆分版本迭代，跟进设计、开发、测试，确保上线落地，观察效果并安排优化；

任职要求：
- 本科或以上学历，两年以上产品策划工作经验；
- 了解房地产行业，良好的用户分析能力及逻辑思维能力；
- 熟练掌握流行产品原型绘制工具，原型图保真度高；","深圳 - 南山区 - 后海总部基地海信南方大厦18层
","房极客
移动互联网,企业服务
B轮
150-500人
http://www.fanggeek.com"
产品经理,华坤道威技术管理部招聘,9k-18k,/杭州 /,经验3-5年 /,本科及以上 /,全职,"
五险一金,双休,年底多薪,节日福利","

1、参与公司产品规划讨论与评审；
2、负责产品研究领域，包括行业需求调研、竞品、合作伙伴调研；
3、制定产品范围及版本迭代内容，跟踪开发过程出现需求衔接问题；
4、负责交付产品质量最终把关，完成产品白皮书；
5、配合公司进行产品品宣市场、客户培训工作。

职位要求：
2. 逻辑性强，擅长需求调研；
3. 有深厚的产品设计经验，如互联网、移动互联网等。熟悉互联网产品的整体实现过程，包括从需求分析到产品发布等；
4. 熟悉互联网产品管理、研发及运营模式，对互联网行业、大数据平台产品等有独到的见解和认识；
5. 较强的创新能力、沟通能力，以结果为导向，有团队合作精神；
6. 有过互联网，大数据等相关行业的工作者优先；
7. 熟练掌握某一款或几款原型设计工具，如Axure RP8、Ｍockplus、justinmind、墨刀等。
薪酬福利：双休、五险一金、带薪假期、人性化管理、年度多薪、节日福利、餐补、话补等","杭州 - 西湖区 - 天目山路 - 天目山路294号杭钢冶金科技大厦7楼
","华坤道威
移动互联网,数据服务
不需要融资
150-500人
http://worken.cn"
产品经理,小鸟云研发中心招聘,8k-15k,/深圳 /,经验3-5年 /,大专及以上 /,全职,"
福利优厚 环境优雅 平台有潜力 前景好","
岗位职责：
1、负责软件产品的功能定义、产品规划、设计，完成产品需求文档，并制作产品原型、用户手册等；
2、负责协调项目负责人、UI、测试、运营等人员完成产品从开发、测试、到发布的全部工作；
3、负责产品上线后的产品维护和优化，定期分析效果，跟踪用户行为，并主持版本更新等相关工作；
4、整理和分析用户需求和反馈，完成软件产品的规划与持续改进；
5、负责研究市场和用户需求，关注竞品动态，整理、分析撰写报告；
6、负责运营数据分析，为软件产品发展方向提供建议性意见和依据。

任职要求：
1、大专以上学历，计算机相关专业毕业；
2、三年以上软件产品经理经验，能够深刻理解用户需求，对行业发展有清晰认识；
3、熟悉软件产品设计、网站原型设计的各种工具；
4、具备竞品分析、文档书写等产品基本能力，有较强的产品架构意识和能力；
5、深入了解交互逻辑、对产品设计有独到的见解；
6、具备独立撰写产品文档的能力，熟练掌握产品需求分析、设计；
7、独立负责设计项目，有互联网产品设计、管理类产品设计经验者优先。","深圳 - 南山区 - 大冲 - 深圳湾科技生态园B5座920
","小鸟云
移动互联网,数据服务
不需要融资
50-150人
http://www.niaoyun.com"
产品经理(主端业务),考虫网招聘,20k-40k,/北京 /,经验5-10年 /,本科及以上 /,全职,"
不打卡,每日零食,团建旅游,免费体检","
职位工作：
1、负责考虫旗下考虫网及app产品业务的需求挖掘和迭代，独立负责产品调研、策划与落地；
2、熟悉数据结构，擅长把控全链条业务模型，对商城、在线教学、督学辅学、课程产品化设计有一定认知；
3、对各类新产品或模式充满好奇心，擅长举一反三；
4、具备产品设计能力，熟悉PMF/MVP/HMW等策略，熟悉AARRR和RARRA模型的相关案例和模型，擅长数据及指标拆解，拥有对行业产品模型的敏感度；
5、愿意做些用户爱，并且能关爱到用户的事情，同时对数据敏感，拥有强大的同理心；
6、希望你至少有一定开发及产品运营相关经验，211/985院校毕业优先；
7、基础能力：【自驱力】【独立思考】【擅长需求挖掘】。

职位要求:
1、3年以上互联网产品经验；
2、善于研究用户需求，对用户体验、用户逻辑有研究；
3、善于协调开发及设计资源，推进项目进度；
4、能够在常态流程基础上打破常态优化产品；
5、一个有创造力且热衷打磨产品的你；
6、有技术、运营或交互设计经验的更优；
7、真的喜欢用户，喜欢和用户沟通，真实的沟通与数据的沟通并行。","北京 - 朝阳区 - 朝外 - 兆泰国际中心
","考虫网
教育
D轮及以上
150-500人
http://www.kaochong.com/"
产品经理,云栖城市大脑科技招聘,10k-20k,/杭州 /,经验3-5年 /,本科及以上 /,全职,"
国企、项目前景好、工作氛围好","
职责描述：
1、精通敏捷开发模式，有按时交付的理念和意识，了解开发技术流程。负责产品的全生命周期，包括从规划到产品发布的全流程；
2、对推动政府数字化转型事业有热情，熟悉政府侧工作流程，利用专业推进工作进度，并可独立与客户进行沟通、对接；
3、根据行业内部和客户业务流程，来寻找客户业务提升的关键点，同时输出整体解决方案；
4、理解技术和市场的发展趋势，为产品设计简单优雅的流程和体验；
5、参与设计评审，制定标准体系，与其它设计师一起不断提高设计质量；
6、与相关部门紧密互动，协调处理解决项目推进过程中的障碍问题。

任职要求：
1、全日制本科及以上学历，3年以上互联网产品相关经验；
2、有“互联网+政务”相关工作经验者优先；
3、用户导向，卓越的产品感觉和用户感觉，深刻的用户分析能力；
4、丰富的独立产品设计经验。掌握Axure、mindmanager、5、Visio等软件知识、熟悉互联网领域产品设计、开发、测试和运营流程，对用户需求敏感；
6、逻辑清晰，善于沟通，有出色的学习、分析能力和洞察力；
7、有良好的团队协作能力；具备良好的资源整合能力、沟通协调能力和书面报告能力，具备独立解决问题的能力和较强的市场分析能力，对产品和数据运营敏感，思维清晰而有条理，能承受较大的工作压力。","杭州 - 下城区 - 天水 - 体育场路178号浙报传媒大厦
","云栖城市大脑科技
移动互联网,人工智能
不需要融资
50-150人
https://www.lagou.com/gon..."
